Min IBU,ABV,bitterness_score,bitterness_category
65,18.0,72.79650774753323,Strong
65,10.0,72.76190476190473,Strong
65,12.0,72.76190476190473,Strong
65,10.0,72.76190476190473,Strong
65,9.0,72.76190476190473,Strong
65,8.3,72.76190476190473,Strong
65,8.0,72.76190476190473,Strong
65,8.5,72.76190476190473,Strong
65,11.7,72.76190476190473,Strong
65,9.0,72.76190476190473,Strong
